collected_at,dealID,title,storeID,salePrice,normalPrice,savings,metacriticScore,steamRatingPercent,dealRating
2026-02-05T23:50:26Z,vNvqYiu2kYUcAZ5HUZ4V8vy3aIm3K4zjyQPxEK1SQWk%3D,Underground Garage,1,13.11,37.48,65.021345,0,69,10.0
2026-02-05T23:50:26Z,%2FlxId31VdK9uSbK4K7zlKIfKFS42TsOCkGc3XUTgcQU%3D,Botany Manor,25,0.0,24.99,100.0,82,94,10.0
2026-02-05T23:50:26Z,Brbfw4NbS%2FQpZnc84yuzaYu9uvF5A%2BNtJ9EGMurm73s%3D,Poison Retro Set,25,0.0,24.99,100.0,0,0,10.0
2026-02-05T23:50:26Z,HLnRXZSdtCMgnu3kLeWF638PDaJL0L4bXsY6rD7AgMw%3D,FOR HONOR Year 8 Ultimate Edition,27,8.4,89.99,90.66563,0,0,10.0
2026-02-05T23:50:26Z,r5WMNvjeIMvCavj0Pe1YLAdiIdKLxN%2FdfvROJbUNLH4%3D,RiMS Ultimate Edition,2,8.86,69.5,87.251799,0,0,10.0
2026-02-05T23:50:26Z,aN%2FS0Nw%2BHUqN%2FIqq7FqI6MmBkw40fM5el5%2BB%2B9iD9wY%3D,Hogwarts Legacy: Deluxe Edition,3,8.93,69.99,87.241034,0,0,10.0
2026-02-05T23:50:26Z,pOSFvcoR2JunSDMzQCTwsDx6qSuqb0HeAaPmD9lE6a8%3D,Tennis World Tour Legends Edition,2,8.93,69.98,87.239211,0,0,10.0
2026-02-05T23:50:26Z,Rx8KBZvxJuULeosOXmkPM4%2BJhnU7Zux1pFFXXPjD18M%3D,SunBlockers,25,0.0,1.99,100.0,0,0,10.0
2026-02-05T23:50:26Z,lM%2BgGEa7g%2FzTZ3XE%2F1NPKR8J752SjbEcWAF%2FXIRzMZc%3D,nightreaper2,25,0.0,3.99,100.0,0,0,10.0
2026-02-05T23:50:26Z,ihwiQ9AZtYJmi5oc1KDKzixg21FxAMmS2Z07NJC5Ho8%3D,Assassins Creed Origins Deluxe Edition,27,9.75,69.99,86.069438,0,0,10.0
2026-02-05T23:50:26Z,CY0qkv0hCaks4qtSWhqd1Y0V4px%2B2%2BKDVuagr%2FKS7FE%3D,Watch Dogs Legion Deluxe Edition,27,9.75,69.99,86.069438,0,0,10.0
2026-02-05T23:50:26Z,RxxggACqRHgsu0EmJuCXPgQJRla%2FEXe5VOGtDIGQsRs%3D,Watch_Dogs 2 Gold Edition,27,11.0,79.99,86.248281,0,0,10.0
2026-02-05T23:50:26Z,92vczbOy2iGlFO1ggHTIxk8d1CVBVjsc26U4alik0f8%3D,FOR HONOR  Ultimate Edition,13,9.0,89.99,89.998889,0,0,10.0
2026-02-05T23:50:26Z,qCU4ZgDcHl8kipBvsaApVzExeaEGqC02x70M225%2Fo78%3D,Far Cry 5 Gold Edition,27,12.49,89.99,86.12068,0,0,10.0
2026-02-05T23:50:26Z,lBMW87cd7MzZGYxfgurFm%2B6QzeUE5Q5fTC0o4m4zRHI%3D,Tiny Tinas Wonderlands: Chaotic Great Edition,30,15.99,79.99,80.010001,0,0,10.0
2026-02-05T23:50:26Z,IlhZi6eHyYhfj8wTsBppN3ewXJ4dA6wsJL9ogoTFtmo%3D,Tiny Tinas Wonderlands: Chaotic Great Edition,23,16.0,79.99,79.9975,0,0,10.0
2026-02-05T23:50:26Z,T5Wru6uGF5MuMNBPdQA8I9kKTclq0NR2bjOZR7FarP4%3D,Far Cry 5 and Far Cry New Dawn Deluxe Edition Bundle,27,13.75,99.99,86.248625,0,0,10.0
2026-02-05T23:50:26Z,ed2T3JtmWfyE4UMDjpqECpUEPpbpGdDpmJC0k9geRJg%3D,Assassins Creed Origins Gold Edition,27,13.88,99.99,86.118612,0,0,10.0
2026-02-05T23:50:26Z,2udD6lQAZEs%2BErSpt6HIKZOmiJV8CXbxyHW%2BdAF8tko%3D,Gotham Knights Deluxe Edition,3,13.6,79.99,82.997875,0,0,10.0
2026-02-05T23:50:26Z,5iBdHSHea%2F%2FCU3Sb8EbapQE%2B1uFzLQ9D5AqvOPQeHec%3D,One Punch Man: A Hero Nobody Knows Deluxe Edition,11,9.59,79.99,88.011001,0,0,10.0
2026-02-05T23:50:26Z,2G0lQb1vZaK5Ex0MzthsrZfGgCjwiXJBjd%2BNjN7xyC8%3D,Marvels Midnight Suns Digital Edition,11,15.99,79.99,80.010001,0,0,10.0
2026-02-05T23:50:26Z,E7xB4f9ZERLgHOGh3ApxBm76m0dtgfwAP6tNv3lZBrM%3D,We Happy Few Deluxe Edition,7,15.99,79.99,80.010001,0,0,10.0
2026-02-05T23:50:26Z,Whr0bMpVCUEa6dRJzrSISJ6S1UXEuNcTPy7H7oF5dGY%3D,Tiny Tinas Wonderlands: Chaotic Great Edition,2,16.0,79.99,79.9975,0,0,10.0
2026-02-05T23:50:26Z,khSrhkgpaxgOWWEYV9MdKid%2FcDzIGa0zHzvh5j73lLo%3D,Sid Meier's Civilization IV,1,3.99,19.99,80.04002,94,92,10.0
2026-02-05T23:50:26Z,EmJ2sFwIVwBIsvgbzfxl%2B8ukwrscS7sB6wam4YzwCzw%3D,Far Cry New Dawn Ultimate Edition,27,17.86,129.99,86.260482,0,0,10.0
2026-02-05T23:50:26Z,gg3ApYVOZYZoGV8wO4dmqHcXn%2BNAXMmte8MFfAtgx8Y%3D,ONE PIECE World Seeker Deluxe Edition,11,8.99,89.99,90.010001,0,0,10.0
2026-02-05T23:50:26Z,5xRuVIgFiH0TW2PTPJPlTN4NYMjAt4bg3p1CvKMMJv8%3D,Sid Meiers Civilization VI,1,5.99,59.99,90.015003,88,84,10.0
2026-02-05T23:50:26Z,JNQDQFegQby4K%2BRz6Wm8iQ7vrA44SVegf7vZXoedke0%3D,The Crew Motorfest Deluxe Edition,27,14.74,79.99,81.572697,0,0,10.0
2026-02-05T23:50:26Z,7OKT5vjgeNTOpZUf6NTct4pDEozvxfM3KwdevolT%2FCE%3D,BioShock,1,4.99,19.99,75.037519,96,93,9.9
2026-02-05T23:50:26Z,xy%2FYGF6%2B2Wg2FQYy29UgPvqj1%2FMm%2BzSNfLp%2FKfeykE0%3D,Deus Ex: Human Revolution - Director's Cut,30,2.99,19.99,85.042521,91,91,9.9
2026-02-05T23:50:26Z,Ersqftfht15yRvVi%2BQtYqzHcXHuORprGmyDT0uvo5zc%3D,Homeworld Remastered Collection,1,3.49,34.99,90.025722,86,87,9.9
2026-02-05T23:50:26Z,%2FPRo49puJ4MiL5jfPbDaCA4np1G%2BgT%2BF9NTKGQe5FaM%3D,Homeworld Remastered Collection,30,3.49,34.99,90.025722,86,87,9.9
2026-02-05T23:50:26Z,P8NEU0ISQgnFpnlemYyFIYhfSLk8HMicmFS4lZrTlqE%3D,Homeworld Remastered Collection,23,3.5,34.99,89.997142,86,87,9.9
2026-02-05T23:50:26Z,Kb%2BnKWG5d0q31D7pg5D0qPXKbHSfb210HrYKC%2FYe%2Bjw%3D,The Quarry Deluxe Edition,3,9.03,69.99,87.098157,0,0,9.9
2026-02-05T23:50:26Z,vTZ81A14wUS99zrsTQ2UVPE%2BbPMgndYC%2BNJbOgQZ7Fs%3D,Divinity: Original Sin - Enhanced Edition,1,5.99,39.99,85.021255,94,87,9.9
2026-02-05T23:50:26Z,fuEtAcY271BU0mMYLPXRFvx4drgk6qLfTkW%2BxxfEvPQ%3D,Divinity: Original Sin - Enhanced Edition,7,5.99,39.99,85.021255,94,87,9.9
2026-02-05T23:50:26Z,IbC08Bnm4UxMmc7g2%2BjhQmM%2BHJCkbZTVOQICow9rk%2F0%3D,Just Cause 2,3,1.5,14.99,89.993329,84,91,9.8
2026-02-05T23:50:26Z,j46CiZP1igYcQ4VBE9PsYhpLCPCNmeQ%2FpH3sbAfUsBs%3D,Assassin's Creed Odyssey - Deluxe Edition,27,14.67,79.99,81.660208,0,0,9.8
2026-02-05T23:50:26Z,OONiF331%2FY%2FJ5L0WI0QS%2F59RqU%2BK7AdIrv7UOnDvQXs%3D,Control Ultimate Edition,23,3.59,39.99,91.022756,84,88,9.8
2026-02-05T23:50:26Z,o5SUU8NV69IgLF9mh7V%2BdGLKt3HpCKNKKfLe8QIcbt8%3D,Tom Clancy's Ghost Recon Wildlands Gold Year 2 Edition,27,14.85,79.99,81.435179,0,0,9.8
2026-02-05T23:50:26Z,VElrJLbKJz8Y3dLgQe75o%2B6e1XL1H%2FP6DmqbFqZ83ZE%3D,Europa Universalis IV,2,5.0,49.99,89.998,87,87,9.8
2026-02-05T23:50:26Z,bsg1ZrFf%2BCL7LR2nbTFH%2FzGLNQ%2FP5%2Bd0K8jLfwasWh8%3D,Borderlands 3 Super Deluxe Edition,11,15.99,79.99,80.010001,0,0,9.8
2026-02-05T23:50:26Z,6vZGkZ%2BaGQ%2B9nkWoYYdjB3LlbGvks4dhyA57mQ2cjX0%3D,Tiny Tinas Wonderlands: Chaotic Great Edition,11,15.99,79.99,80.010001,0,0,9.8
2026-02-05T23:50:26Z,yHwHEUOSnAYu2oHH4egqsPEsay39S2LKabnrOT2v2JM%3D,The Textorcist: The Story of Ray Bibbia,1,0.89,14.99,94.062708,78,85,9.8
2026-02-05T23:50:26Z,Quc7hLS1e%2B0Zwsz0lx2e0ovkBhkBX2mzTJAdO%2FA271k%3D,GUILTY GEAR Xrd -SIGN-,23,2.51,29.99,91.630544,84,92,9.8
2026-02-05T23:50:26Z,DAqawAUoAimmqjxuB3tpxGN8HUiRSWZpfJbql%2BoxTTk%3D,GUILTY GEAR Xrd -SIGN-,30,2.55,29.99,91.497166,84,92,9.8
2026-02-05T23:50:26Z,O%2BSZ%2FWxXnuj0dNBuB1ytb2ytFK8WOK%2FfmZWTYDPjTF4%3D,BioShock 2,1,2.99,19.99,85.042521,88,87,9.7
2026-02-05T23:50:26Z,k5XJ5zJ5lOk%2BjgKqxe63W77EuJZVnvb1F%2BWzHSg%2F3qQ%3D,SteamWorld Heist,7,1.04,14.99,93.062041,81,93,9.7
2026-02-05T23:50:26Z,kPH6XJD4aNpCHqccCXnLU6NKzWP9Hdl3I9KSaOjW%2B40%3D,Control Ultimate Edition,2,4.0,39.99,89.997499,84,88,9.7
2026-02-05T23:50:26Z,s3vx%2Br4Bs1j1qeOuDjgSF2GHss81RwXP5H%2FgCr6gaGE%3D,ONE PIECE BURNING BLOOD GOLD EDITION,11,9.74,74.99,87.011602,0,0,9.7
2026-02-05T23:50:26Z,ryaV37fbWkAIG6ZLy%2FtViuEGOIShgUVV7kpgbYlDqQk%3D,Tomb Raider: Anniversary,1,0.98,8.99,89.098999,83,79,9.7
2026-02-05T23:50:26Z,%2Bj1YG%2BiaAw3mvcPG1Ko1mnx0uYXwcTdcSc49lJ4m48U%3D,Assassins Creed Odyssey Gold Edition,27,17.9,99.99,82.09821,0,0,9.7
2026-02-05T23:50:26Z,dWx7pJ%2B%2BcvAb%2FaknPLLgwvfG66w3%2BKAAQRgTATTQVdM%3D,Empyreal,30,4.49,29.99,85.028343,65,69,9.7
2026-02-05T23:50:26Z,XiQBuRpM%2Fy9dZSxzDuH8xWYAvPK0tHzh%2FbKrahBa%2F5Q%3D,I Hate This Place,1,22.39,35.98,37.770984,66,62,9.7
2026-02-05T23:50:26Z,fC7uDqxlm%2F%2B1QRP5l%2FFOpAfWQC%2BjLKyGnzMS7j%2FCCBM%3D,Tom Clancys Ghost Recon Breakpoint Gold Edition,27,17.99,99.99,82.008201,0,0,9.7
2026-02-05T23:50:26Z,ruE3EUqgjlVU9KYE%2Bqlt76%2BRfutGLY6IvRigl%2FrUyY8%3D,Watch Dogs: Legion Gold Edition,27,17.99,99.99,82.008201,0,0,9.7
2026-02-05T23:50:26Z,l0vmcA1bSa3DqvSAgef%2Fp3GL41Ji0hz5r4GqHIIrX0o%3D,Pushover,7,3.14,8.99,65.072303,0,96,9.7
2026-02-05T23:50:26Z,%2FkQ2z%2FeekuD1jyL1rAPUR5yEk%2BJvBNfolTiDdhSWBdU%3D,Inertial Drift,11,1.99,19.99,90.045023,89,84,9.7
2026-02-05T23:50:26Z,pslZK8EAZI5jNFvY1VRW3WvpPk0FlsEoodxXPjtSacA%3D,Dream,7,1.86,16.99,89.052384,0,56,9.6
2026-02-05T23:50:26Z,jyq0wL7zIkJh3LNixJs81uXyZIxsGRDSATupDJ62d7g%3D,XCOM 2: War of the Chosen,11,3.99,39.99,90.022506,88,0,9.6
2026-02-06T01:20:03Z,vNvqYiu2kYUcAZ5HUZ4V8vy3aIm3K4zjyQPxEK1SQWk%3D,Underground Garage,1,13.11,37.48,65.021345,0,69,10.0
2026-02-06T01:20:03Z,%2FlxId31VdK9uSbK4K7zlKIfKFS42TsOCkGc3XUTgcQU%3D,Botany Manor,25,0.0,24.99,100.0,82,94,10.0
2026-02-06T01:20:03Z,Brbfw4NbS%2FQpZnc84yuzaYu9uvF5A%2BNtJ9EGMurm73s%3D,Poison Retro Set,25,0.0,24.99,100.0,0,0,10.0
2026-02-06T01:20:03Z,HLnRXZSdtCMgnu3kLeWF638PDaJL0L4bXsY6rD7AgMw%3D,FOR HONOR Year 8 Ultimate Edition,27,8.4,89.99,90.66563,0,0,10.0
2026-02-06T01:20:03Z,r5WMNvjeIMvCavj0Pe1YLAdiIdKLxN%2FdfvROJbUNLH4%3D,RiMS Ultimate Edition,2,8.86,69.5,87.251799,0,0,10.0
2026-02-06T01:20:03Z,aN%2FS0Nw%2BHUqN%2FIqq7FqI6MmBkw40fM5el5%2BB%2B9iD9wY%3D,Hogwarts Legacy: Deluxe Edition,3,8.93,69.99,87.241034,0,0,10.0
2026-02-06T01:20:03Z,pOSFvcoR2JunSDMzQCTwsDx6qSuqb0HeAaPmD9lE6a8%3D,Tennis World Tour Legends Edition,2,8.93,69.98,87.239211,0,0,10.0
2026-02-06T01:20:03Z,Rx8KBZvxJuULeosOXmkPM4%2BJhnU7Zux1pFFXXPjD18M%3D,SunBlockers,25,0.0,1.99,100.0,0,0,10.0
2026-02-06T01:20:03Z,lM%2BgGEa7g%2FzTZ3XE%2F1NPKR8J752SjbEcWAF%2FXIRzMZc%3D,nightreaper2,25,0.0,3.99,100.0,0,0,10.0
2026-02-06T01:20:03Z,ihwiQ9AZtYJmi5oc1KDKzixg21FxAMmS2Z07NJC5Ho8%3D,Assassins Creed Origins Deluxe Edition,27,9.75,69.99,86.069438,0,0,10.0
2026-02-06T01:20:03Z,CY0qkv0hCaks4qtSWhqd1Y0V4px%2B2%2BKDVuagr%2FKS7FE%3D,Watch Dogs Legion Deluxe Edition,27,9.75,69.99,86.069438,0,0,10.0
2026-02-06T01:20:03Z,RxxggACqRHgsu0EmJuCXPgQJRla%2FEXe5VOGtDIGQsRs%3D,Watch_Dogs 2 Gold Edition,27,11.0,79.99,86.248281,0,0,10.0
2026-02-06T01:20:03Z,92vczbOy2iGlFO1ggHTIxk8d1CVBVjsc26U4alik0f8%3D,FOR HONOR  Ultimate Edition,13,9.0,89.99,89.998889,0,0,10.0
2026-02-06T01:20:03Z,qCU4ZgDcHl8kipBvsaApVzExeaEGqC02x70M225%2Fo78%3D,Far Cry 5 Gold Edition,27,12.49,89.99,86.12068,0,0,10.0
2026-02-06T01:20:03Z,lBMW87cd7MzZGYxfgurFm%2B6QzeUE5Q5fTC0o4m4zRHI%3D,Tiny Tinas Wonderlands: Chaotic Great Edition,30,15.99,79.99,80.010001,0,0,10.0
2026-02-06T01:20:03Z,IlhZi6eHyYhfj8wTsBppN3ewXJ4dA6wsJL9ogoTFtmo%3D,Tiny Tinas Wonderlands: Chaotic Great Edition,23,16.0,79.99,79.9975,0,0,10.0
2026-02-06T01:20:03Z,T5Wru6uGF5MuMNBPdQA8I9kKTclq0NR2bjOZR7FarP4%3D,Far Cry 5 and Far Cry New Dawn Deluxe Edition Bundle,27,13.75,99.99,86.248625,0,0,10.0
2026-02-06T01:20:03Z,ed2T3JtmWfyE4UMDjpqECpUEPpbpGdDpmJC0k9geRJg%3D,Assassins Creed Origins Gold Edition,27,13.88,99.99,86.118612,0,0,10.0
2026-02-06T01:20:03Z,2udD6lQAZEs%2BErSpt6HIKZOmiJV8CXbxyHW%2BdAF8tko%3D,Gotham Knights Deluxe Edition,3,13.6,79.99,82.997875,0,0,10.0
2026-02-06T01:20:03Z,5iBdHSHea%2F%2FCU3Sb8EbapQE%2B1uFzLQ9D5AqvOPQeHec%3D,One Punch Man: A Hero Nobody Knows Deluxe Edition,11,9.59,79.99,88.011001,0,0,10.0
2026-02-06T01:20:03Z,2G0lQb1vZaK5Ex0MzthsrZfGgCjwiXJBjd%2BNjN7xyC8%3D,Marvels Midnight Suns Digital Edition,11,15.99,79.99,80.010001,0,0,10.0
2026-02-06T01:20:03Z,E7xB4f9ZERLgHOGh3ApxBm76m0dtgfwAP6tNv3lZBrM%3D,We Happy Few Deluxe Edition,7,15.99,79.99,80.010001,0,0,10.0
2026-02-06T01:20:03Z,Whr0bMpVCUEa6dRJzrSISJ6S1UXEuNcTPy7H7oF5dGY%3D,Tiny Tinas Wonderlands: Chaotic Great Edition,2,16.0,79.99,79.9975,0,0,10.0
2026-02-06T01:20:03Z,khSrhkgpaxgOWWEYV9MdKid%2FcDzIGa0zHzvh5j73lLo%3D,Sid Meier's Civilization IV,1,3.99,19.99,80.04002,94,92,10.0
2026-02-06T01:20:03Z,EmJ2sFwIVwBIsvgbzfxl%2B8ukwrscS7sB6wam4YzwCzw%3D,Far Cry New Dawn Ultimate Edition,27,17.86,129.99,86.260482,0,0,10.0
2026-02-06T01:20:03Z,gg3ApYVOZYZoGV8wO4dmqHcXn%2BNAXMmte8MFfAtgx8Y%3D,ONE PIECE World Seeker Deluxe Edition,11,8.99,89.99,90.010001,0,0,10.0
2026-02-06T01:20:03Z,5xRuVIgFiH0TW2PTPJPlTN4NYMjAt4bg3p1CvKMMJv8%3D,Sid Meiers Civilization VI,1,5.99,59.99,90.015003,88,84,10.0
2026-02-06T01:20:03Z,JNQDQFegQby4K%2BRz6Wm8iQ7vrA44SVegf7vZXoedke0%3D,The Crew Motorfest Deluxe Edition,27,14.74,79.99,81.572697,0,0,10.0
2026-02-06T01:20:03Z,7OKT5vjgeNTOpZUf6NTct4pDEozvxfM3KwdevolT%2FCE%3D,BioShock,1,4.99,19.99,75.037519,96,93,9.9
2026-02-06T01:20:03Z,xy%2FYGF6%2B2Wg2FQYy29UgPvqj1%2FMm%2BzSNfLp%2FKfeykE0%3D,Deus Ex: Human Revolution - Director's Cut,30,2.99,19.99,85.042521,91,91,9.9
2026-02-06T01:20:03Z,Ersqftfht15yRvVi%2BQtYqzHcXHuORprGmyDT0uvo5zc%3D,Homeworld Remastered Collection,1,3.49,34.99,90.025722,86,87,9.9
2026-02-06T01:20:03Z,%2FPRo49puJ4MiL5jfPbDaCA4np1G%2BgT%2BF9NTKGQe5FaM%3D,Homeworld Remastered Collection,30,3.49,34.99,90.025722,86,87,9.9
2026-02-06T01:20:03Z,P8NEU0ISQgnFpnlemYyFIYhfSLk8HMicmFS4lZrTlqE%3D,Homeworld Remastered Collection,23,3.5,34.99,89.997142,86,87,9.9
2026-02-06T01:20:03Z,Kb%2BnKWG5d0q31D7pg5D0qPXKbHSfb210HrYKC%2FYe%2Bjw%3D,The Quarry Deluxe Edition,3,9.03,69.99,87.098157,0,0,9.9
2026-02-06T01:20:03Z,vTZ81A14wUS99zrsTQ2UVPE%2BbPMgndYC%2BNJbOgQZ7Fs%3D,Divinity: Original Sin - Enhanced Edition,1,5.99,39.99,85.021255,94,87,9.9
2026-02-06T01:20:03Z,fuEtAcY271BU0mMYLPXRFvx4drgk6qLfTkW%2BxxfEvPQ%3D,Divinity: Original Sin - Enhanced Edition,7,5.99,39.99,85.021255,94,87,9.9
2026-02-06T01:20:03Z,IbC08Bnm4UxMmc7g2%2BjhQmM%2BHJCkbZTVOQICow9rk%2F0%3D,Just Cause 2,3,1.5,14.99,89.993329,84,91,9.8
2026-02-06T01:20:03Z,j46CiZP1igYcQ4VBE9PsYhpLCPCNmeQ%2FpH3sbAfUsBs%3D,Assassin's Creed Odyssey - Deluxe Edition,27,14.67,79.99,81.660208,0,0,9.8
2026-02-06T01:20:03Z,OONiF331%2FY%2FJ5L0WI0QS%2F59RqU%2BK7AdIrv7UOnDvQXs%3D,Control Ultimate Edition,23,3.59,39.99,91.022756,84,88,9.8
2026-02-06T01:20:03Z,o5SUU8NV69IgLF9mh7V%2BdGLKt3HpCKNKKfLe8QIcbt8%3D,Tom Clancy's Ghost Recon Wildlands Gold Year 2 Edition,27,14.85,79.99,81.435179,0,0,9.8
2026-02-06T01:20:03Z,VElrJLbKJz8Y3dLgQe75o%2B6e1XL1H%2FP6DmqbFqZ83ZE%3D,Europa Universalis IV,2,5.0,49.99,89.998,87,87,9.8
2026-02-06T01:20:03Z,bsg1ZrFf%2BCL7LR2nbTFH%2FzGLNQ%2FP5%2Bd0K8jLfwasWh8%3D,Borderlands 3 Super Deluxe Edition,11,15.99,79.99,80.010001,0,0,9.8
2026-02-06T01:20:03Z,6vZGkZ%2BaGQ%2B9nkWoYYdjB3LlbGvks4dhyA57mQ2cjX0%3D,Tiny Tinas Wonderlands: Chaotic Great Edition,11,15.99,79.99,80.010001,0,0,9.8
2026-02-06T01:20:03Z,yHwHEUOSnAYu2oHH4egqsPEsay39S2LKabnrOT2v2JM%3D,The Textorcist: The Story of Ray Bibbia,1,0.89,14.99,94.062708,78,85,9.8
2026-02-06T01:20:03Z,Quc7hLS1e%2B0Zwsz0lx2e0ovkBhkBX2mzTJAdO%2FA271k%3D,GUILTY GEAR Xrd -SIGN-,23,2.51,29.99,91.630544,84,92,9.8
2026-02-06T01:20:03Z,DAqawAUoAimmqjxuB3tpxGN8HUiRSWZpfJbql%2BoxTTk%3D,GUILTY GEAR Xrd -SIGN-,30,2.55,29.99,91.497166,84,92,9.8
2026-02-06T01:20:03Z,O%2BSZ%2FWxXnuj0dNBuB1ytb2ytFK8WOK%2FfmZWTYDPjTF4%3D,BioShock 2,1,2.99,19.99,85.042521,88,87,9.7
2026-02-06T01:20:03Z,k5XJ5zJ5lOk%2BjgKqxe63W77EuJZVnvb1F%2BWzHSg%2F3qQ%3D,SteamWorld Heist,7,1.04,14.99,93.062041,81,93,9.7
2026-02-06T01:20:03Z,kPH6XJD4aNpCHqccCXnLU6NKzWP9Hdl3I9KSaOjW%2B40%3D,Control Ultimate Edition,2,4.0,39.99,89.997499,84,88,9.7
